title,Author(s),Year published,Approximate sales,Original language,book_series,No. of installments,First published,first,last
how the steel was tempered (как закалялась сталь),nikolai ostrovsky,1932-01-01,36.4,rus,n,,1932,1932,
war and peace (война и мир),leo tolstoy,1869-01-01,36.0,rus,n,,1869,1869,
the adventures of pinocchio (le avventure di pinocchio),carlo collodi,1881-01-01,35.0,ita,n,,1881,1881,
the diary of anne frank (het achterhuis),anne frank,1947-01-01,35.0,nld,n,,1947,1947,
your erroneous zones,wayne dyer,1976-01-01,35.0,eng,n,,1976,1976,
the thorn birds,colleen mccullough,1977-01-01,33.0,eng,n,,1977,1977,
the purpose driven life,rick warren,2002-01-01,33.0,eng,n,,2002,2002,
the kite runner,khaled hosseini,2003-01-01,31.5,eng,n,,2003,2003,
valley of the dolls,jacqueline susann,1966-01-01,31.0,eng,n,,1966,1966,
alcoholics anonymous big book,bill wilson,1939-01-01,30.0,eng,n,,1939,1939,
how to win friends and influence people,dale carnegie,1936-01-01,30.0,eng,n,,1936,1936,
the great gatsby,f. scott fitzgerald,1925-01-01,30.0,eng,n,,1925,1925,
gone with the wind,margaret mitchell,1936-01-01,30.0,eng,n,,1936,1936,
rebecca,daphne du maurier,1938-01-01,30.0,eng,n,,1938,1938,
nineteen eighty-four,george orwell,1949-01-01,30.0,eng,n,,1949,1949,
the revolt of mamie stover,william bradford huie,1951-01-01,30.0,eng,n,,1951,1951,
the girl with the dragon tattoo (män som hatar kvinnor),stieg larsson,2005-01-01,30.0,swe,n,,2005,2005,
the lost symbol,dan brown,2009-01-01,30.0,eng,n,,2009,2009,
the hunger games,suzanne collins,2008-01-01,29.0,eng,n,,2008,2008,
james and the giant peach,roald dahl,1961-01-01,28.0,eng,n,,1961,1961,
the young guard (молодая гвардия),alexander alexandrovich fadeyev,1945-01-01,26.0,rus,n,,1945,1945,
who moved my cheese?,spencer johnson,1998-01-01,30.0,eng,n,,1998,1998,
a brief history of time,stephen hawking,1988-01-01,25.0,eng,n,,1988,1988,
paul et virginie,jacques-henri bernardin de saint-pierre,1788-01-01,25.0,fra,n,,1788,1788,
lust for life,irving stone,1934-01-01,25.0,eng,n,,1934,1934,
the wind in the willows,kenneth grahame,1908-01-01,25.0,eng,n,,1908,1908,
the 7 habits of highly effective people,stephen r. covey,1989-01-01,25.0,eng,n,,1989,1989,
