title,first_listed_author,contributor,isbn10,isbn13,bestsellers_list,rank,rank_last_week,weeks_on_list,bestsellers_date,publisher
the interestings,meg wolitzer, meg wolitzer,1594488398,9781594488399.0,combined print fiction,20,0,0,2013-04-27,riverhead
let's explore diabetes with owls,david sedaris, david sedaris,0316154695,9780316154697.0,combined print nonfiction,1,0,0,2013-04-27,"little, brown"
lean in,sheryl s, sheryl s/berg / nell scovell,0385349947,9780385349949.0,combined print nonfiction,2,0,0,2013-04-27,knopf
proof of heaven,eben alex, eben alex/er,1451695195,9781451695199.0,combined print nonfiction,3,0,0,2013-04-27,simon & schuster
cooked,michael pollan, michael pollan,1594204217,9781594204210.0,combined print nonfiction,4,0,0,2013-04-27,penguin press
wild,cheryl strayed, cheryl strayed,0307476073,9780307476074.0,combined print nonfiction,5,0,0,2013-04-27,vintage
trident k9 warriors,michael ritl, michael ritl/ / gary brozek,1250024978,9781250024978.0,combined print nonfiction,6,0,0,2013-04-27,st. martin's
waking up in heaven,crystal mcvea, crystal mcvea,1476711879,9781476711874.0,combined print nonfiction,7,0,0,2013-04-27,howard
america the beautiful,ben c carson , ben c. carson / c/y carson,0310330912,9780310330912.0,combined print nonfiction,8,0,0,2013-04-27,zondervan
dirty wars,jeremy scahill, jeremy scahill,156858671x,9781568586717.0,combined print nonfiction,9,0,0,2013-04-27,nation
carrie and me,carol burnett, carol burnett,1476706417,9781476706412.0,combined print nonfiction,10,0,0,2013-04-27,simon & schuster
american sniper,chris kyle with scott mcewen , chris kyle / scott mcewen / jim defelice,0062238868,9780062238863.0,combined print nonfiction,11,0,0,2013-04-27,harper
my next step,dave liniger with laura morton, dave liniger / laura morton,1401943411,9781401943417.0,combined print nonfiction,12,0,0,2013-04-27,hay house
quiet,susan cain, susan cain,0307352153,9780307352156.0,combined print nonfiction,13,0,0,2013-04-27,broadway
the new digital age,eric schmidt , eric schmidt / jared cohen,0307957136,9780307957139.0,combined print nonfiction,14,0,0,2013-04-27,knopf
way of the knife,mark mazzetti, mark mazzetti,1594204802,9781594204807.0,combined print nonfiction,15,0,0,2013-04-27,penguin press
gulp,mary roach, mary roach,0393081575,9780393081572.0,combined print nonfiction,16,0,0,2013-04-27,norton
duck commanders,willie , willie / korie robertson / mark schlabach,147670354x,9781476703541.0,combined print nonfiction,17,0,0,2013-04-27,howard
"thinking, fast and slow",daniel kahneman, daniel kahneman,0374533555,9780374533557.0,combined print nonfiction,18,0,0,2013-04-27,"farrar, straus & giroux"
i'll see you again,jackie hance with janice kaplan, jackie hance / janice kaplan,1451674775,9781451674774.0,combined print nonfiction,19,0,0,2013-04-27,gallery
unbroken,laura hillenbr, laura hillenbr/,1400064163,9781400064168.0,combined print nonfiction,20,0,0,2013-04-27,random house
lego ninjago character encyclopedia,claire sipi, claire sipi,075669812x,9780756698126.0,chapter books,1,0,5,2012-11-24,dk
lincoln's last days,bill o'reilly , bill o'reilly / dwight jon zimmerman,0805096752,9780805096750.0,chapter books,2,0,14,2012-11-24,holt
the fault in our stars,john green, john green,0525478817,9780525478812.0,chapter books,3,0,46,2012-11-24,dutton
the lego ideas book,daniel lipkowitz, daniel lipkowitz,0756686067,9780756686062.0,chapter books,4,0,30,2012-11-24,dk
‘who could that be at this hour?’,lemony snicket, lemony snicket. illustrated  seth,0316123080,9780316123082.0,chapter books,5,0,5,2012-11-24,"little, brown"
wonder,r.j. palacio, r.j. palacio,0375869026,9780375869020.0,chapter books,6,0,35,2012-11-24,knopf
the demigod diaries,rick riordan, rick riordan,1423163001,9781423163008.0,chapter books,7,0,12,2012-11-24,hyperion/disney
insurgent,veronica roth, veronica roth,0062024043,9780062024046.0,chapter books,8,0,29,2012-11-24,katherine tegen/harpercollins
the lego book,daniel lipkowitz, daniel lipkowitz,0756666937,9780756666934.0,chapter books,9,0,1,2012-11-24,dk
lego star wars character encyclopedia,hannah dolan , hannah dolan / others,0756686970,9780756686970.0,chapter books,10,0,23,2012-11-24,dk
the isle of the lost,melissa de la cruz, melissa de la cruz,1484720970,9781484720974.0,childrens middle grade,1,0,14,2015-08-08,disney publishing worldwide
wonder,r.j. palacio, r.j. palacio,0375869026,9780375869020.0,childrens middle grade,2,0,141,2015-08-08,knopf doubleday publishing
mal's spell book,,,1484726383,9781484726389.0,childrens middle grade,3,0,1,2015-08-08,disney publishing worldwide
descendants,adapted  rico green,adapted  rico green,1484726146,9781484726143.0,childrens middle grade,4,0,4,2015-08-08,disney publishing worldwide
a long walk to water,linda sue park, linda sue park,0547577311,9780547577319.0,childrens middle grade,5,0,61,2015-08-08,houghton mifflin harcourt
max,boaz yakin , boaz yakin / sheldon lettich,0062420399,9780062420398.0,childrens middle grade,6,0,3,2015-08-08,harpercollins publishers
the care and keeping of you,valorie schaefer, valorie schaefer. illustrated  josee masse,1609580834,9781609580834.0,childrens middle grade,7,0,106,2015-08-08,american girl publishing
the princess in black,shannon hale , shannon hale / dean hale. illustrated  leuyen pham,0763678880,9780763678883.0,childrens middle grade,8,0,11,2015-08-08,candlewick
counting by 7s,holly goldberg sloan, holly goldberg sloan,014242286x,9780142422861.0,childrens middle grade,9,0,17,2015-08-08,penguin group
jurassic world,david lewman, david lewman,0553536907,9780553536904.0,childrens middle grade,10,0,5,2015-08-08,random house publishing
hitler's last days,bill o'reilly, bill o'reilly,1627793968,9781627793964.0,childrens middle grade,11,0,0,2015-08-08,henry holt & company
serafina and the black cloak,robert beatty, robert beatty,1484709012,9781484709016.0,childrens middle grade,12,0,0,2015-08-08,disney publishing worldwide
the one and only ivan,katherine applegate., katherine applegate. illustrated  patricia castelao,0061992275,9780061992278.0,childrens middle grade,13,0,0,2015-08-08,harpercollins publishers
out of my mind,sharon m. draper, sharon m. draper,1416971718,9781416971719.0,childrens middle grade,14,0,0,2015-08-08,simon & schuster
goodbye stranger,rebecca stead, rebecca stead,0385743173,9780385743174.0,childrens middle grade,15,0,0,2015-08-08,random house publishing
the hammer of thor,rick riordan, rick riordan,none,9781484758595.0,childrens middle grade e-book,1,2,15,2017-01-14,disney-hyperion
wonder,r.j. palacio, r.j. palacio,037589988x,9780375899881.0,childrens middle grade e-book,2,5,58,2017-01-14,knopf
the hidden oracle,rick riordan, rick riordan,none,9781484736678.0,childrens middle grade e-book,3,3,37,2017-01-14,disney-hyperion
the sword of summer,rick riordan, rick riordan,1484719328,9781484719329.0,childrens middle grade e-book,4,0,55,2017-01-14,disney-hyperion
the finisher,david baldacci, david baldacci,none,9780545652360.0,childrens middle grade e-book,5,1,18,2017-01-14,scholastic
wonder,r.j. palacio, r.j. palacio,0375869026,9780375869020.0,childrens middle grade hardcover,1,2,384,2023-02-18,knopf
refugee,alan gratz, alan gratz,0545880831,9780545880831.0,childrens middle grade hardcover,2,1,208,2023-02-18,scholastic
odder,katherine applegate., katherine applegate. illustrated  charles santoso,1250147425,9781250147424.0,childrens middle grade hardcover,3,6,22,2023-02-18,feiwel & friends
two degrees,alan gratz, alan gratz,1338735675,9781338735673.0,childrens middle grade hardcover,4,7,20,2023-02-18,scholastic
the complete cookbook for young chefs,america's test kitchen kids, america's test kitchen kids,1492670022,9781492670025.0,childrens middle grade hardcover,5,5,141,2023-02-18,sourcebooks jabberwocky
little leaders,vashti harrison, vashti harrison,0316475114,9780316475112.0,childrens middle grade hardcover,6,3,75,2023-02-18,"little, brown"
little legends: exceptional men in black history,vashti harrison with kwesi johnson, vashti harrison / kwesi johnson,0316475149,9780316475143.0,childrens middle grade hardcover,7,4,38,2023-02-18,"little, brown"
the windeby puzzle,lois lowry, lois lowry,0358672503,9780358672500.0,childrens middle grade hardcover,8,0,1,2023-02-18,clarion
the swifts,beth lincoln., beth lincoln. illustrated  claire powell,0593533232,9780593533239.0,childrens middle grade hardcover,9,9,2,2023-02-18,dutton
on air with zoe washington,janae marks, janae marks,0063212315,9780063212312.0,childrens middle grade hardcover,10,0,1,2023-02-18,katherine tegen
hidden figures,margot lee shetterly, margot lee shetterly,0062662376,9780062662378.0,childrens middle grade paperback,1,1,6,2017-01-14,harpercollins
a long walk to water,linda sue park, linda sue park,0547577311,9780547577319.0,childrens middle grade paperback,2,2,75,2017-01-14,houghton mifflin harcourt
